slug,title,section,order,track,intent,level,priority,vizModule,prereq1,prereq2,next,mistake,published,hookQuestion,oneLineAnswer,takeaway1,takeaway2,takeaway3,check1,check2
function-graph-reading,グラフ読解の基礎（増減と傾き）,basics,5,regular,concept,基礎,S,,limits-intro,integral-definition-meaning,secant-to-tangent,common-calculus-mistakes,2026-03-02,"グラフ読解の基礎（増減と傾き）で、最初にどこを見れば迷わず進めるか？","変化の向きを先に見て、グラフ読解の基礎（増減と傾き）の意味を式とグラフで一致させる。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","グラフ読解の基礎（増減と傾き）の要点を30秒で口頭説明できるか。","グラフ読解の基礎（増減と傾き）の同型問題で同じ手順を再現できるか。"
limits-intro,極限の入口（近づくとは何か）,basics,8,regular,definition,基礎,S,,function-graph-reading,integral-definition-meaning,secant-to-tangent,common-calculus-mistakes,2026-03-02,"極限の入口（近づくとは何か）で、最初にどこを見れば迷わず進めるか？","定義を図と式で往復し、極限の入口（近づくとは何か）を自分の言葉で説明できる状態を目指す。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","極限の入口（近づくとは何か）の要点を30秒で口頭説明できるか。","極限の入口（近づくとは何か）の同型問題で同じ手順を再現できるか。"
secant-to-tangent,割線→接線（微分係数の定義）,differentiation,10,regular,definition,基礎,S,secant-tangent,limits-intro,function-graph-reading,tangent-line-equation,common-calculus-mistakes,2026-03-02,"割線→接線（微分係数の定義）で、最初にどこを見れば迷わず進めるか？","定義を図と式で往復し、割線→接線（微分係数の定義）を自分の言葉で説明できる状態を目指す。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","割線→接線（微分係数の定義）の要点を30秒で口頭説明できるか。","割線→接線（微分係数の定義）の同型問題で同じ手順を再現できるか。"
tangent-line-equation,接線の方程式の求め方,differentiation,12,regular,procedure,基礎,S,tangent-line,secant-to-tangent,limits-intro,derivative-sign-chart,common-calculus-mistakes,2026-03-02,"接線の方程式の求め方で、最初にどこを見れば迷わず進めるか？","接線の方程式の求め方の手順を固定し、条件を見たら次の一手を再現できる状態を作る。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","接線の方程式の求め方の要点を30秒で口頭説明できるか。","接線の方程式の求め方の同型問題で同じ手順を再現できるか。"
derivative-sign-chart,増減表の作り方（導関数の符号）,differentiation,14,regular,procedure,標準,S,derivative-sign,secant-to-tangent,tangent-line-equation,derivative-rules-overview,common-calculus-mistakes,2026-03-02,"増減表の作り方（導関数の符号）で、最初にどこを見れば迷わず進めるか？","増減表の作り方（導関数の符号）の手順を固定し、条件を見たら次の一手を再現できる状態を作る。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","増減表の作り方（導関数の符号）の要点を30秒で口頭説明できるか。","増減表の作り方（導関数の符号）の同型問題で同じ手順を再現できるか。"
derivative-rules-overview,微分公式の見取り図（和・積・合成）,differentiation,16,regular,procedure,標準,A,chain-rule-flow,derivative-sign-chart,tangent-line-equation,local-max-min-judge,common-calculus-mistakes,2026-03-02,"微分公式の見取り図（和・積・合成）で、最初にどこを見れば迷わず進めるか？","微分公式の見取り図（和・積・合成）の手順を固定し、条件を見たら次の一手を再現できる状態を作る。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","微分公式の見取り図（和・積・合成）の要点を30秒で口頭説明できるか。","微分公式の見取り図（和・積・合成）の同型問題で同じ手順を再現できるか。"
local-max-min-judge,極大・極小の判定を最短で理解,differentiation,18,exam,exam,標準,S,,derivative-rules-overview,derivative-sign-chart,cubic-shape-from-extrema,common-calculus-mistakes,2026-03-02,"極大・極小の判定を最短で理解で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、極大・極小の判定を最短で理解を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","極大・極小の判定を最短で理解の要点を30秒で口頭説明できるか。","極大・極小の判定を最短で理解の同型問題で同じ手順を再現できるか。"
cubic-shape-from-extrema,3次関数の概形を極値条件から絞る,differentiation,20,exam,exam,発展,A,,local-max-min-judge,derivative-rules-overview,second-derivative-concavity,common-calculus-mistakes,2026-03-02,"3次関数の概形を極値条件から絞るで、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、3次関数の概形を極値条件から絞るを共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","3次関数の概形を極値条件から絞るの要点を30秒で口頭説明できるか。","3次関数の概形を極値条件から絞るの同型問題で同じ手順を再現できるか。"
second-derivative-concavity,2次導関数と凹凸の読み方,differentiation,22,exam,exam,発展,B,,cubic-shape-from-extrema,local-max-min-judge,review-10min-differential,common-calculus-mistakes,2026-03-02,"2次導関数と凹凸の読み方で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、2次導関数と凹凸の読み方を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","2次導関数と凹凸の読み方の要点を30秒で口頭説明できるか。","2次導関数と凹凸の読み方の同型問題で同じ手順を再現できるか。"
review-10min-differential,10分で復習する微分の5パターン,differentiation,24,regular,review,基礎,A,,derivative-rules-overview,second-derivative-concavity,integral-definition-meaning,common-calculus-mistakes,2026-03-02,"10分で復習する微分の5パターンで、最初にどこを見れば迷わず進めるか？","要点を10分で再接続し、10分で復習する微分の5パターンを短時間で思い出せるようにする。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","10分で復習する微分の5パターンの要点を30秒で口頭説明できるか。","10分で復習する微分の5パターンの同型問題で同じ手順を再現できるか。"
